carteira,filtro,sharpe_bruto,sharpe_liq,giro_medio
central_10,GPMF,-1.381,-1.5476,0.284
central_15,GPMF,-1.2127,-1.3608,0.252
central_20,GPMF,-1.3278,-1.4873,0.258
peripheral_10,GPMF,-0.7922,-1.0994,0.46
peripheral_15,GPMF,-0.6398,-0.9366,0.428
peripheral_20,GPMF,-0.6752,-0.9501,0.356
hybrid_10,GPMF,-0.77,-1.0748,0.472
hybrid_15,GPMF,-0.9291,-1.187,0.4013
hybrid_20,GPMF,-1.1922,-1.4385,0.368
central_10,AGM,-0.9931,-1.1474,0.276
central_15,AGM,-1.3354,-1.4912,0.268
central_20,AGM,-1.2438,-1.4115,0.252
peripheral_10,AGM,-0.9394,-1.2466,0.444
peripheral_15,AGM,-0.9711,-1.2194,0.348
peripheral_20,AGM,-0.9131,-1.1216,0.296
hybrid_10,AGM,-1.2031,-1.4861,0.436
hybrid_15,AGM,-1.1384,-1.4087,0.396
hybrid_20,AGM,-1.0661,-1.3045,0.348
