carteira,giro_medio,sharpe_bruto,ret_bruto,sharpe_liq,ret_liq,dd_liq
central_10,0.284,-1.381,-0.0012,-1.5476,-0.0311,-0.2037
central_15,0.252,-1.2127,0.0369,-1.3608,0.0104,-0.1988
central_20,0.258,-1.3278,0.0252,-1.4873,-0.0022,-0.1992
peripheral_10,0.46,-0.7922,0.1242,-1.0994,0.0673,-0.2042
peripheral_15,0.428,-0.6398,0.1599,-0.9366,0.1062,-0.178
peripheral_20,0.356,-0.6752,0.1617,-0.9501,0.1151,-0.1741
hybrid_10,0.472,-0.77,0.1247,-1.0748,0.0678,-0.2052
hybrid_15,0.4013,-0.9291,0.1015,-1.187,0.0552,-0.1886
hybrid_20,0.368,-1.1922,0.0607,-1.4385,0.0191,-0.2021
