filtro,diff_sharpe,z,p_valor,diff_sharpe_aa,ic95_baixo,ic95_alto,p_boot,n
GPMF,0.0293,0.8885,0.3743,0.4651,-0.447,1.4491,0.3244,550
MST,-0.0035,-0.0969,0.9228,-0.0549,-1.097,1.1015,0.9292,550
