,bruto,ajustado,dividendo,razao
2022-03-02,9.003111839294434,5.384841442108154,0.0,0.598108913698684
2022-03-03,8.993249893188477,5.378944396972656,0.0,0.5981090774589384
2022-03-04,8.993249893188477,5.378944396972656,0.0,0.5981090774589384
2022-03-07,8.943944931030273,5.349454879760742,0.0,0.598109102975495
2022-03-08,8.973527908325195,5.367149353027344,0.0,0.5981091726530396
2022-03-09,8.983388900756836,5.373046875,0.0,0.5981091250037421
2022-03-10,9.012972831726074,5.390741348266602,0.0,0.5981091310173428
2022-03-11,8.934083938598633,5.343556880950928,0.0,0.5981090974380411
2022-03-14,8.89463996887207,5.31996488571167,0.0,0.5981090751654443
2022-03-15,8.943944931030273,5.349454879760742,0.0,0.598109102975495
2022-03-16,8.953805923461914,5.355353832244873,0.0,0.5981092150112486
2022-03-17,8.943944931030273,5.349454879760742,0.0,0.598109102975495
2022-03-18,8.953805923461914,5.355353832244873,0.0,0.5981092150112486
2022-03-21,8.914361953735352,5.331760406494141,0.0,0.59810903283549
2022-03-22,8.963666915893555,5.361250877380371,0.0,0.598109114013852
2022-03-23,8.953805923461914,5.355353832244873,0.0,0.5981092150112486
2022-03-24,8.953805923461914,5.355353832244873,0.0,0.5981092150112486
2022-03-25,9.022833824157715,5.3966383934021,0.0,0.5981090307740293
2022-03-28,9.003111839294434,5.384841442108154,0.0,0.598108913698684
2022-03-29,9.012972831726074,5.390741348266602,0.0,0.5981091310173428
2022-03-30,9.081999778747559,5.432026386260986,0.0,0.5981090639279979
2022-03-31,9.131304740905762,5.461515426635742,0.0,0.5981089867880149
2022-04-01,9.170748710632324,5.485109806060791,0.0,0.5981092688431752
2022-04-04,9.318663597106934,5.573576927185059,0.0,0.5981090388234883
2022-04-05,9.170748710632324,5.485109806060791,0.0,0.5981092688431752
2022-04-06,9.229914665222168,5.52049446105957,0.0,0.5981089383047605
2022-04-07,9.26935863494873,5.544086456298828,0.0,0.5981089603541371
2022-04-08,9.318663597106934,5.573576927185059,0.0,0.5981090388234883
2022-04-11,9.358107566833496,5.597168922424316,0.0,0.5981090602400749
2022-04-12,9.377829551696777,5.608966827392578,0.0,0.5981092742699423
2022-04-13,9.46657943725586,5.662047386169434,0.0,0.5981091083318189
2022-04-14,9.555329322814941,5.715129852294922,0.0,0.5981091450871396
2022-04-18,9.5454683303833,5.709229946136475,0.0,0.5981089401306744
2022-04-19,9.575051307678223,5.726924896240234,0.0,0.598109055734022
2022-04-20,9.584912300109863,5.732821941375732,0.0,0.5981089614466292
2022-04-22,9.663800239562988,5.780007839202881,0.0,0.5981092009269701
2022-04-25,9.663800239562988,5.780007839202881,0.0,0.5981092009269701
2022-04-26,9.68352222442627,5.791802883148193,0.0,0.5981091124610236
2022-04-27,9.722966194152832,5.815395355224609,0.0,0.5981091818175666
2022-04-28,9.762410163879395,5.838986873626709,0.0,0.5981091529252452
2022-04-29,9.811715126037598,5.868475437164307,0.0,0.59810903208869
2022-05-02,9.476441383361816,5.731207370758057,0.108303,0.6047847645446925
2022-05-03,9.486302375793457,5.737171173095703,0.0,0.6047847671117307
2022-05-04,9.496163368225098,5.743134498596191,0.0,0.6047847194597733
2022-05-05,9.5454683303833,5.772953033447266,0.0,0.6047846824939862
2022-05-06,9.496163368225098,5.743134498596191,0.0,0.6047847194597733
2022-05-09,9.555329322814941,5.77891731262207,0.0,0.6047847350299003
2022-05-10,9.52574634552002,5.761026859283447,0.0,0.604784827384457
2022-05-11,9.417274475097656,5.695425033569336,0.0,0.6047848609095866
2022-05-12,9.229914665222168,5.58211088180542,0.0,0.604784668577546
2022-05-13,9.298941612243652,5.623860836029053,0.0,0.6047850465717813
2022-05-16,9.387690544128418,5.677530765533447,0.0,0.6047846101067413
2022-05-17,9.4074125289917,5.6894612312316895,0.0,0.604784919731961
2022-05-18,9.446857452392578,5.713315963745117,0.0,0.6047848178653444
2022-05-19,9.52574634552002,5.761026859283447,0.0,0.604784827384457
2022-05-20,9.52574634552002,5.761026859283447,0.0,0.604784827384457
2022-05-23,9.575051307678223,5.790844917297363,0.0,0.6047847401771823
2022-05-24,9.70324420928955,5.868374347686768,0.0,0.6047847731244967
2022-05-25,9.68352222442627,5.856448173522949,0.0,0.6047849158388163
2022-05-26,9.673661231994629,5.850483417510986,0.0,0.6047848148910902
2022-05-27,9.70324420928955,5.868374347686768,0.0,0.6047847731244967
2022-05-30,9.752549171447754,5.898191928863525,0.0,0.6047846388851322
2022-05-31,9.772271156311035,5.910120487213135,0.0,0.6047847417124029
2022-06-01,9.584912300109863,5.861772537231445,0.108303,0.6115624591749532
2022-06-02,9.614495277404785,5.879864692687988,0.0,0.6115624921576875
2022-06-03,9.575051307678223,5.855741500854492,0.0,0.6115624149354458
2022-06-06,9.584912300109863,5.861772537231445,0.0,0.6115624591749532
2022-06-07,9.555329322814941,5.843681812286377,0.0,0.6115625756962256
2022-06-08,9.53560733795166,5.831620693206787,0.0,0.6115625871041241
2022-06-09,9.506024360656738,5.813529014587402,0.0,0.611562604304726
2022-06-10,9.506024360656738,5.813529014587402,0.0,0.611562604304726
2022-06-13,9.417274475097656,5.75925350189209,0.0,0.6115626678527246
2022-06-14,9.456718444824219,5.7833757400512695,0.0,0.6115626444622113
2022-06-15,9.456718444824219,5.7833757400512695,0.0,0.6115626444622113
2022-06-17,9.506024360656738,5.813529014587402,0.0,0.611562604304726
2022-06-20,9.506024360656738,5.813529014587402,0.0,0.611562604304726
2022-06-21,9.565190315246582,5.849711894989014,0.0,0.6115625201586189
2022-06-22,9.575051307678223,5.855741500854492,0.0,0.6115624149354458
2022-06-23,9.515885353088379,5.819558620452881,0.0,0.6115624983401197
2022-06-24,9.476441383361816,5.795436382293701,0.0,0.6115625209763857
2022-06-27,9.46657943725586,5.789405822753906,0.0,0.6115625882744528
2022-06-28,9.456718444824219,5.7833757400512695,0.0,0.6115626444622113
2022-06-29,9.476441383361816,5.795436382293701,0.0,0.6115625209763857
2022-06-30,9.5454683303833,5.837650299072266,0.0,0.6115624814856887
2022-07-01,9.446857452392578,5.8375563621521,0.098457,0.6179363234356456
2022-07-04,9.456718444824219,5.843649387359619,0.0,0.6179362768866109
2022-07-05,9.4074125289917,5.813182353973389,0.0,0.617936370501279
2022-07-06,9.446857452392578,5.8375563621521,0.0,0.6179363234356456
2022-07-07,9.496163368225098,5.86802339553833,0.0,0.6179362304542056
2022-07-08,9.584912300109863,5.922863960266113,0.0,0.6179361662180493
2022-07-11,9.555329322814941,5.904584884643555,0.0,0.6179363039372566
2022-07-12,9.5454683303833,5.8984904289245605,0.0,0.617936200170464
2022-07-13,9.565190315246582,5.910677433013916,0.0,0.6179362080849036
2022-07-14,9.555329322814941,5.904584884643555,0.0,0.6179363039372566
2022-07-15,9.5454683303833,5.8984904289245605,0.0,0.617936200170464
2022-07-18,9.565190315246582,5.910677433013916,0.0,0.6179362080849036
2022-07-19,9.476441383361816,5.855836391448975,0.0,0.6179362225286711
2022-07-20,9.555329322814941,5.904584884643555,0.0,0.6179363039372566
2022-07-21,9.555329322814941,5.904584884643555,0.0,0.6179363039372566
2022-07-22,9.575051307678223,5.916769981384277,0.0,0.61793611242998
2022-07-25,9.634217262268066,5.953333854675293,0.0,0.6179364335067706
2022-07-26,9.673661231994629,5.977706432342529,0.0,0.6179363003297952
2022-07-27,9.68352222442627,5.983800888061523,0.0,0.617936402620902
2022-07-28,9.663800239562988,5.971613883972168,0.0,0.6179363952003848
2022-07-29,9.70324420928955,5.995986461639404,0.0,0.6179362625851521
2022-08-01,9.653939247131348,6.039051055908203,0.118148,0.6255530412316089
2022-08-02,9.663800239562988,6.045219898223877,0.0,0.6255530690167961
2022-08-03,9.69338321685791,6.06372594833374,0.0,0.6255531028411445
2022-08-04,9.673661231994629,6.051390171051025,0.0,0.6255532446222823
2022-08-05,9.673661231994629,6.051390171051025,0.0,0.6255532446222823
2022-08-08,9.69338321685791,6.06372594833374,0.0,0.6255531028411445
2022-08-09,9.752549171447754,6.100736141204834,0.0,0.6255529742998658
2022-08-10,9.772271156311035,6.113072872161865,0.0,0.6255529317986617
2022-08-11,9.782132148742676,6.119243621826172,0.0,0.625553154340968
2022-08-12,9.722966194152832,6.082233428955078,0.0,0.6255532835867302
2022-08-15,9.742688179016113,6.094568252563477,0.0,0.6255530445580729
2022-08-16,9.782132148742676,6.119243621826172,0.0,0.625553154340968
2022-08-17,9.831437110900879,6.150084495544434,0.0,0.6255529508219462
2022-08-18,9.85115909576416,6.1624226570129395,0.0,0.6255530539205972
2022-08-19,9.870881080627441,6.1747589111328125,0.0,0.6255529633774409
2022-08-22,9.910325050354004,6.199434757232666,0.0,0.6255531201785574
2022-08-23,9.939908027648926,6.2179388999938965,0.0,0.625552961123788
2022-08-24,9.949769973754883,6.22410774230957,0.0,0.6255529282312335
2022-08-25,9.949769973754883,6.22410774230957,0.0,0.6255529282312335
2022-08-26,10.048379898071289,6.285794734954834,0.0,0.6255530541954674
2022-08-29,10.097684860229492,6.316637992858887,0.0,0.6255530926437852
