,MXRF11,KNRI11,HGLG11,XPML11,VISC11,HGBS11,KNCR11,HFOF11,RECR11,IRDM11,XPLG11,BTLG11,VILG11,HGRE11,KNIP11,MCCI11,RBRR11,RBRF11,VGIP11,HSML11,RBRP11,GGRC11,HGRU11,BRCO11,TRXF11,VINO11,JSRE11,BRCR11,RCRB11,ALZR11,PVBI11,HGCR11,DEVA11,CPTS11,VRTA11,KFOF11,RBVA11,VGHF11,HCTR11,RZTR11,TGAR11,MFII11,RBRY11,RECT11,SDIL11,LVBI11,HGFF11,VCJR11,KNSC11,VGIR11,BTRA11,MORE11,BLMG11,VTLT11,OUJP11,AFHI11,PORD11,HGPO11,NEWL11,XPCI11,VSLH11,GARE11
2022-03-02,5.384843826293945,93.91322326660156,112.31328582763672,8.028505325317383,67.30520629882812,11.114002227783203,57.38217544555664,4.855654716491699,66.31798553466797,61.23652648925781,65.7217025756836,68.49618530273438,70.12041473388672,89.08673858642578,61.29998016357422,58.52169418334961,61.065773010253906,4.665223598480225,58.89542007446289,50.03148651123047,45.817832946777344,6.621734619140625,75.11178588867188,67.55706024169922,61.93501663208008,6.218211650848389,53.74425506591797,44.6106071472168,91.51966094970703,7.044098377227783,,60.841365814208984,,5.253619194030762,62.342044830322266,46.12914276123047,5.707480430603027,,66.2934341430664,,67.51382446289062,56.537071228027344,57.91691207885742,44.48617935180664,76.45677185058594,67.45994567871094,45.30846405029297,55.93717575073242,5.612202167510986,5.337331295013428,,,,55.92001724243164,47.085025787353516,,5.133094310760498,64.21727752685547,64.40836334228516,54.78041458129883,,
2022-03-03,5.378944396972656,93.53544616699219,112.12374877929688,8.003793716430664,67.83943939208984,11.2176513671875,57.47473907470703,4.849910736083984,67.25157165527344,60.76518249511719,66.57282257080078,68.69647979736328,69.23507690429688,87.26162719726562,61.23825454711914,58.562774658203125,61.60844421386719,4.687398433685303,59.2310905456543,50.11031723022461,45.61266326904297,6.582350730895996,75.49551391601562,68.03329467773438,62.13944625854492,6.566736698150635,53.56059265136719,44.47489929199219,91.55591583251953,6.993066787719727,,61.08150863647461,,5.253619194030762,64.22577667236328,48.25759506225586,5.703788757324219,,65.68060302734375,,67.51382446289062,56.70935821533203,58.066410064697266,44.74362564086914,76.2925033569336,67.92117309570312,45.84815979003906,56.33900833129883,5.617586135864258,5.361529350280762,,,,55.85878372192383,47.085025787353516,,5.252828121185303,63.731807708740234,63.64167022705078,56.52263259887695,,
2022-03-04,5.378944396972656,94.06290435791016,111.0546646118164,7.990561485290527,68.29829406738281,11.2454252243042,57.62511444091797,4.853741645812988,67.08487701416016,61.44099044799805,66.75130462646484,68.63639831542969,68.5918197631836,86.8621597290039,61.2197265625,58.70954513549805,62.06576156616211,4.695226669311523,59.46076965332031,49.919776916503906,45.54429244995117,6.575999736785889,75.73110961914062,67.9040298461914,62.034149169921875,6.307643890380859,53.44755554199219,44.5976676940918,91.94752502441406,6.937625408172607,,60.88822937011719,,5.253619194030762,62.96995162963867,47.08348846435547,5.6964030265808105,,65.44078826904297,,67.51382446289062,56.537071228027344,58.02765655517578,44.88884353637695,76.07637786865234,68.68526458740234,45.616886138916016,56.019935607910156,5.635534763336182,5.358840465545654,,,,56.52025604248047,47.565975189208984,,5.233513355255127,64.4786605834961,63.62910461425781,55.8605842590332,,
2022-03-07,5.349453449249268,93.54969787597656,110.16146850585938,7.959672927856445,67.63395690917969,11.093002319335938,57.642486572265625,4.840338230133057,66.85814666748047,61.04912567138672,67.26610565185547,69.6978988647461,68.16992950439453,83.68025970458984,61.0283088684082,59.26729202270508,61.480411529541016,4.6639204025268555,59.1545524597168,49.919776916503906,45.18184280395508,6.580446720123291,74.73483276367188,67.35975646972656,62.00936508178711,6.319481372833252,53.46874237060547,43.938594818115234,91.51966094970703,6.921875953674316,,60.858943939208984,,5.253619194030762,62.336055755615234,46.87002182006836,5.685940742492676,,65.16901397705078,,67.51382446289062,56.133216857910156,58.087608337402344,44.598388671875,75.83433532714844,68.1483383178711,45.50121307373047,56.01401901245117,5.639124870300293,5.366369724273682,,,,55.95063018798828,47.63996887207031,,5.173373699188232,64.22972106933594,64.4020767211914,55.45986557006836,,
2022-03-08,5.3671488761901855,93.08643341064453,109.11941528320312,7.955261707305908,67.53121185302734,11.156004905700684,57.816001892089844,4.830129146575928,66.91814422607422,60.7935905456543,67.26610565185547,69.71125793457031,68.46733093261719,85.60868072509766,60.75663757324219,59.108760833740234,61.58407211303711,4.634571075439453,59.37242889404297,49.30868148803711,44.860443115234375,6.578539848327637,74.3780288696289,67.35298919677734,62.1270637512207,6.195854187011719,53.34865951538086,43.42812728881836,89.28621673583984,6.917466640472412,,60.93508529663086,,5.253619194030762,62.49155044555664,46.59377670288086,5.661327838897705,,65.21163177490234,,67.51382446289062,56.397037506103516,58.02106475830078,44.01749038696289,75.09949493408203,67.32916259765625,45.571895599365234,56.8117561340332,5.621178150177002,5.352926254272461,,,,55.95063018798828,48.23189926147461,,5.132542610168457,63.59989929199219,62.88125228881836,55.512149810791016,,
2022-03-09,5.373045921325684,92.8725814819336,109.28180694580078,7.937614440917969,66.50385284423828,11.095714569091797,58.14573669433594,4.817366123199463,66.23130798339844,61.219505310058594,67.86326599121094,68.60734558105469,67.87252044677734,84.99571990966797,60.94187545776367,58.920902252197266,61.94380569458008,4.64435338973999,59.46076965332031,49.18382263183594,43.636348724365234,6.566473484039307,73.73180389404297,66.35969543457031,62.11466979980469,6.256353378295898,52.72700500488281,43.40873718261719,89.32975769042969,6.8714776039123535,,60.976097106933594,,5.253619194030762,62.198509216308594,46.179378509521484,5.653327465057373,,64.2311019897461,,67.51382446289062,56.025535583496094,58.09868621826172,43.37714385986328,75.49716186523438,67.08824920654297,45.76465606689453,56.33309555053711,5.628356456756592,5.39002799987793,,,,56.060890197753906,47.650543212890625,,5.24730920791626,63.98079299926758,63.704532623291016,55.169517517089844,,
2022-03-10,5.390740871429443,92.73004913330078,108.97724914550781,8.043506622314453,66.51071166992188,11.089614868164062,57.97219467163086,4.811622142791748,66.19132232666016,61.05481719970703,69.256591796875,68.75458526611328,68.42585754394531,86.36626434326172,60.91101837158203,59.296634674072266,62.797454833984375,4.637832164764404,59.4666633605957,49.20354080200195,43.19185256958008,6.511212348937988,73.38847351074219,66.18956756591797,61.749202728271484,6.219527244567871,52.31023025512695,43.26011657714844,88.11880493164062,6.86643648147583,,61.05224609375,,5.253619194030762,62.4377326965332,46.179378509521484,5.628713607788086,,63.980628967285156,,67.51382446289062,56.009361267089844,58.143035888671875,42.967872619628906,75.10812377929688,67.11578369140625,45.72608947753906,56.90040588378906,5.636134147644043,5.413149833679199,,,,55.84653854370117,47.671688079833984,,5.20979118347168,63.98575210571289,62.95038986206055,56.03480911254883,,
2022-03-11,5.3435564041137695,93.2289810180664,109.28180694580078,8.006441116333008,66.64768981933594,11.145843505859375,57.52678298950195,4.779715538024902,66.09127044677734,60.59483337402344,69.70963287353516,68.94196319580078,68.75090789794922,83.34966278076172,60.849266052246094,58.8563117980957,61.64503479003906,4.565436840057373,59.46076965332031,48.95384216308594,43.246559143066406,6.511212348937988,73.30774688720703,65.6045150756836,61.63766860961914,6.219527244567871,52.35966873168945,42.70443344116211,89.1049575805664,6.901088237762451,,61.52668380737305,,5.253619194030762,61.89353561401367,46.77584457397461,5.644712448120117,,63.5223274230957,,67.51382446289062,55.96091079711914,57.87697219848633,42.406742095947266,75.01304626464844,67.06759643554688,44.80089569091797,57.2017707824707,5.595448970794678,5.430355548858643,,,,56.14049530029297,47.618839263916016,,5.186615467071533,64.21977996826172,62.88125228881836,56.02898025512695,,
2022-03-14,5.3199639320373535,93.01512145996094,108.80812072753906,7.924374580383301,66.2641372680664,10.975128173828125,57.26069641113281,4.779078006744385,65.91790008544922,59.86224365234375,68.91342163085938,68.92192840576172,67.81719207763672,82.64713287353516,60.58377456665039,58.02851867675781,61.065773010253906,4.536087512969971,57.94731521606445,48.46101379394531,42.77470779418945,6.497872829437256,72.82977294921875,65.78820037841797,61.32793426513672,6.220843315124512,51.66032409667969,42.652740478515625,89.61981201171875,6.913686752319336,,61.32170104980469,,5.253619194030762,60.73941421508789,46.39285659790039,5.609021186828613,,63.25585174560547,,67.51382446289062,55.75630569458008,58.087608337402344,42.18232345581055,74.33872985839844,67.65959930419922,43.76005935668945,56.75855255126953,5.594849586486816,5.348624229431152,,,,56.471256256103516,47.470855712890625,,5.131990909576416,63.731807708740234,63.717079162597656,54.861724853515625,,
2022-03-15,5.349453449249268,93.08643341064453,108.94345092773438,7.961435794830322,66.62027740478516,11.08622932434082,57.83913040161133,4.766313552856445,65.98456573486328,60.33927917480469,68.84480285644531,69.03569030761719,68.05928802490234,83.37032318115234,60.41704177856445,58.38664627075195,61.443843841552734,4.531521320343018,58.35363006591797,48.428157806396484,43.31494903564453,6.516293525695801,73.20674896240234,64.97181701660156,61.59432601928711,6.237940311431885,51.7380256652832,42.87888717651367,88.35807037353516,6.948336124420166,,61.063961029052734,,5.253619194030762,61.534751892089844,45.99729537963867,5.631791114807129,,62.89881896972656,,67.51382446289062,55.99860382080078,57.69960021972656,41.773040771484375,74.53755950927734,66.98495483398438,44.07489013671875,56.90630340576172,5.621178150177002,5.429819583892822,,55.88991165161133,,56.47739028930664,47.893653869628906,,5.129783630371094,63.76170349121094,63.013221740722656,54.8501091003418,,
